ZELENGRAD d.o.o.@2063-50-9@10/06/2020
011242@UNIVERZALNI TIPL S RUBOM 12X72@4,0@KOM@1,24
07331@PODLOŠKA PROŠ.POC 8X24@4,0@KOM@0,296
0871@ZETA VIJAK ZA DRVO DIN 571 8X80@4,0@KOM@0,848
08870@FM-X5 TIPL S HEX. VIJKOM 10x160@4,0@KOM@8,64
710019@KUTIJA KONUS fi60 (RATKOM)@8,0@KOM@1,224
710104@KABEL KOAX.RG 6 75 OHM@100,0@MET@1,20
710983@RATKOM KUTIJA PŽ 3M@10,0@KOM@1,60
710984@RATKOM KUTIJA PŽ 4M@10,0@KOM@5,60
711063@RATKOM KUTIJA PŽ 6M@10,0@KOM@9,60
711504@NOSAČ ZA ANTENU ZIDNI 490/90°mm Zn S@1,0@KOM@60,80
710491@AVE 44A04 NOSAČ ZA MASKU@2,0@KOM@8,52
710602@EC 37180 POKLOPAC FI80@10,0@KOM@1,16
710603@EC 37160 POKLOPAC FI60@10,0@KOM@0,856
710605@EC 37185 /RATKOM POKLOPAC FI85@5,0@KOM@2,504
710606@EC 37165 /RATKOM POKLOPAC FI65@5,0@KOM@2,20
711070@EC 351C3 POKLOPAC KUTIJE 120X100@3,0@KOM@2,52
711320@TEM UTIČNICA ŠUKO PODŽ.+POKLOPAC 2P+@2,0@KOM@29,84
711327@EC 351C1 POKLOPAC KUTIJE 92X92@4,0@KOM@1,72
711432@EC MA1010 KANALICA@12,0@MET@6,00
711443@EC 20212 POKLOPAC 3M@2,0@KOM@8,40
710142@KABEL PP/L 3x0,75 BIJELI@100,0@MET@2,64
710196@KABEL PP/L 5x0,75@100,0@MET@4,00
710590@EC CP10060B KANALICA@2,0@MET@46,904
711245@TE RM12-12DC MINIJATURNI RELEJ@1,0@KOM@40,96
712129@V-TAC 6273/6264 LED CIJEV T8 18W 120@6,0@KOM@42,16
710470@AVE 441001 PREKIDAČ OBIČAN 1MOD.@2,0@KOM@14,32
710471@AVE 441001/2 PREKIDAČ OBIČAN 2MOD.@1,0@KOM@27,20
710472@AVE 441002 PREKIDAČ IZMJENIČNI 1MOD.@2,0@KOM@17,92
710477@AVE 441090TS UTIČNICA@5,0@KOM@24,00
710489@AVE 44A02 NOSAČ ZA MASKU@2,0@KOM@7,04
710490@AVE 44A03 NOSAČ ZA MASKU@2,0@KOM@5,60
710491@AVE 44A04 NOSAČ ZA MASKU@2,0@KOM@8,52
710494@AVE 44PY32B MASKA BIJELA@2,0@KOM@7,52
710495@AVE 44PY03B MASKA BIJELA@2,0@KOM@7,92
710496@AVE 44PY04B MASKA BIJELA@1,0@KOM@11,92
710502@AVE 441004 PREKIDAČ KRIŽNI 1MOD.@2,0@KOM@40,96
710590@EC CP10060B KANALICA@2,0@MET@46,904
711518@TEM 18317 UTIČNICA ŠUKO DVOSTRUKA P/@1,0@KOM@45,20
